texto,sentimento,label
"Entrega dentro do esperado, produto chegou em bom estado de conservação",Neutro,1
Produto com manual somente em inglês e chamado aberto sem nenhuma atualização,Negativo,0
"Serviço de entrega médio, produto chegou sem danos mas sem agilidade",Neutro,1
"Produto chegou sem lacre de segurança, não recomendo essa loja para ninguém",Negativo,0
Produto com problemas de conectividade e suporte prometeu retorno e sumiu,Negativo,0
"Produto com ferrugem nas peças metálicas, empresa que não respeita o cliente",Negativo,0
"Experiência de compra comum, nem muito boa nem muito ruim",Neutro,1
"Entrega antecipada e produto impecável, embalagem perfeita e reforçada",Positivo,2
Produto sem certificação obrigatória e devolução negada sem justificativa,Negativo,0
Empresa de confiança que recomendo para qualquer pessoa sem hesitar,Positivo,2
"Frete expresso cobrado mas entrega atrasou, nunca mais compro nessa empresa",Negativo,0
Produto quebrou na primeira semana e atendimento horrível e sem resolução,Negativo,0
Produto enviado sem embalagem adequada e robô de atendimento não resolve nada,Negativo,0
"Produto com cheiro estranho ao abrir, descaso total com o consumidor",Negativo,0
"Suporte resolveu meu problema em menos de 5 minutos, serviço impecável",Positivo,2
Empresa confiável e transparente em todas as etapas do processo,Positivo,2
Produto muito barulhento em operação e nunca consegui falar com um atendente,Negativo,0
Produto com sistema desatualizado sem suporte e chamado aberto sem nenhuma atualização,Negativo,0
"Produto frágil que quebrou no desempacotamento, experiência terrível do início ao fim",Negativo,0
Fui cobrado mas o produto nunca chegou e reclamação ignorada no Reclame Aqui,Negativo,0
"Produto com peças faltando na embalagem, nunca mais compro nessa empresa",Negativo,0
"Estou muito satisfeito com a compra, recomendo essa loja a todos",Positivo,2
"Entrega antecipada e produto impecável, embalagem perfeita e reforçada",Positivo,2
"Produto recusado na entrega por estar danificado, descaso total com o consumidor",Negativo,0
Produto entregue no endereço errado e chamado aberto sem nenhuma atualização,Negativo,0
"Qualidade aceitável para o preço pago, atende ao básico necessário",Neutro,1
Produto veio sem os acessórios prometidos e fiquei mais de uma hora esperando no telefone,Negativo,0
Produto veio sem os acessórios prometidos e garantia não foi honrada dentro do prazo,Negativo,0
"Empresa muito séria, atendimento humanizado e genuinamente eficiente",Positivo,2
Suporte proativo me avisou do status do pedido sem eu precisar perguntar,Positivo,2
"Produto ok, manual poderia ser mais detalhado e fácil de entender",Neutro,1
Produto completamente diferente do site e empresa ignora histórico de contatos anteriores,Negativo,0
"Entrega dentro do esperado, produto chegou em bom estado de conservação",Neutro,1
Empresa séria e comprometida que cumpre rigorosamente o prometido,Positivo,2
"Serviço de pós-venda excelente, empresa se preocupa com a satisfação",Positivo,2
"Produto com problemas de conectividade, nunca mais compro nessa empresa",Negativo,0
"Compra fácil no site, entrega rápida e produto de altíssima qualidade",Positivo,2
"Atendimento ok, não foi excepcional mas resolveu o que era necessário",Neutro,1
"Produto com peças faltando na embalagem, tive que acionar o Procon",Negativo,0
"Atendimento rápido, eficiente e resolutivo em menos de dez minutos",Positivo,2
"Produto chegou completamente danificado, empresa que não respeita o cliente",Negativo,0
Produto com cheiro estranho ao abrir e chamado aberto sem nenhuma atualização,Negativo,0
"Embalagem violada no momento da entrega, péssima experiência de compra",Negativo,0
Produto com problemas de conectividade e empresa ignora histórico de contatos anteriores,Negativo,0
"Estou muito satisfeito com a compra, recomendo essa loja a todos",Positivo,2
"Experiência fantástica de ponta a ponta, voltarei a comprar sempre",Positivo,2
"Recomendo fortemente essa empresa, confiável e produto de excelência",Positivo,2
Produto com dimensões diferentes do especificado e atendimento terceirizado desinformado,Negativo,0
"Produto muito barulhento em operação, experiência terrível do início ao fim",Negativo,0
Produto superou expectativas em durabilidade e acabamento final,Positivo,2
"Melhor compra que realizei esse ano, produto simplesmente fantástico",Positivo,2
"Entregador tentou uma vez e não avisou, tive que acionar o Procon",Negativo,0
"Produto extraviado e empresa não resolve, fui completamente enganado",Negativo,0
"Produto sem certificação obrigatória, propaganda enganosa",Negativo,0
Suporte por email demorou mas finalmente resolveu o que foi solicitado,Neutro,1
"Compra fácil, rápida e segura com excelente experiência do usuário",Positivo,2
"Cobrado duas vezes sem estorno, tive que acionar o Procon",Negativo,0
"Site funcionou bem, pagamento processado sem dificuldades no checkout",Neutro,1
"Empresa incrível, produto entregue muito antes do prazo previsto",Positivo,2
"Atendimento dentro do padrão normal, sem nada de especial a destacar",Neutro,1
"Cancelamento não processado continuei sendo cobrado, nunca mais compro nessa empresa",Negativo,0
"Melhor compra que realizei esse ano, produto simplesmente fantástico",Positivo,2
"Recomendo fortemente essa empresa, confiável e produto de excelência",Positivo,2
"Fui cobrado mas o produto nunca chegou, fui completamente enganado",Negativo,0
"Entrega sem problemas, embalagem básica mas suficiente para proteger",Neutro,1
"Site com informações básicas, poderia ter mais detalhes técnicos",Neutro,1
"O produto funciona, mas as instruções de uso poderiam ser mais claras",Neutro,1
"Produto simples que cumpre o que promete, sem grandes diferenciais",Neutro,1
Produto com sistema desatualizado sem suporte e reclamação ignorada no Reclame Aqui,Negativo,0
"Empresa demora semanas para estornar pagamento, tive que acionar o Procon",Negativo,0
Produto de altíssima qualidade com embalagem premium muito cuidadosa,Positivo,2
"Produto com peças faltando na embalagem, nunca mais compro nessa empresa",Negativo,0
"Site com informações básicas, poderia ter mais detalhes técnicos",Neutro,1
Produto com peças faltando na embalagem e email sem resposta há mais de uma semana,Negativo,0
"Atendimento normal, questão resolvida no prazo informado pelo suporte",Neutro,1
Compra realizada com total segurança e transparência no processo,Positivo,2
Produto com qualidade razoável que atende à necessidade básica,Neutro,1
"Empresa demora semanas para estornar pagamento, não recomendo essa loja para ninguém",Negativo,0
"Qualidade aceitável para o preço pago, atende ao básico necessário",Neutro,1
Produto de altíssima qualidade com embalagem premium muito cuidadosa,Positivo,2
"Entrega dentro do esperado, produto chegou em bom estado de conservação",Neutro,1
Produto não funciona conforme anunciado e empresa ignora histórico de contatos anteriores,Negativo,0
"Entrega dentro do esperado, produto chegou em bom estado de conservação",Neutro,1
"Produto com sistema desatualizado sem suporte, nunca mais compro nessa empresa",Negativo,0
"Atendimento rápido, eficiente e resolutivo em menos de dez minutos",Positivo,2
"Compra online padrão, igual a qualquer outra experiência do mercado",Neutro,1
"Estou muito satisfeito com a compra, recomendo essa loja a todos",Positivo,2
"Produto e serviço impecáveis, superando em muito as expectativas",Positivo,2
Produto com dimensões diferentes do especificado e atendente foi grosseiro e desrespeitoso,Negativo,0
"Atendimento ok, não foi excepcional mas resolveu o que era necessário",Neutro,1
Melhor custo-benefício que encontrei no mercado após muita pesquisa,Positivo,2
"Prazo completamente descumprido sem aviso, descaso total com o consumidor",Negativo,0
"Entregador tentou uma vez e não avisou, propaganda enganosa",Negativo,0
"Empresa muito séria, atendimento humanizado e genuinamente eficiente",Positivo,2
"Pedido processado normalmente, produto dentro das especificações básicas",Neutro,1
"Entrega no intervalo prometido, produto em conformidade com o pedido",Neutro,1
Produto chegou sem lacre de segurança e assistência técnica sem peças de reposição,Negativo,0
"Atendimento dentro do padrão normal, sem nada de especial a destacar",Neutro,1
"Produto veio sem os acessórios prometidos, experiência terrível do início ao fim",Negativo,0
"Produto extraviado e empresa não resolve, empresa que não respeita o cliente",Negativo,0
"Produto conforme descrito, entrega no prazo estipulado pelo vendedor",Neutro,1
"Produto chegou em embalagem reforçada, sem nenhum dano no transporte",Positivo,2
"Produto sensacional e entrega super eficiente, parabéns à empresa",Positivo,2
"Atendimento razoável, resolveu meu problema mas demorou mais que esperado",Neutro,1
"Produto chegou em embalagem reforçada, sem nenhum dano no transporte",Positivo,2
"Voltarei a comprar com certeza, experiência simplesmente perfeita",Positivo,2
"Compra realizada com segurança, produto perfeito e entrega exemplar",Positivo,2
"Compra realizada com segurança, produto perfeito e entrega exemplar",Positivo,2
"Produto com peças faltando na embalagem, empresa que não respeita o cliente",Negativo,0
Produto com problemas de conectividade e robô de atendimento não resolve nada,Negativo,0
"Produto robusto e de excelente qualidade, valeu cada centavo investido",Positivo,2
"Compra realizada com segurança, produto perfeito e entrega exemplar",Positivo,2
Empresa demora semanas para estornar pagamento e empresa ignora histórico de contatos anteriores,Negativo,0
"Atendimento rápido, eficiente e resolutivo em menos de dez minutos",Positivo,2
"Primeira compra na loja, experiência dentro do esperado sem surpresas",Neutro,1
"Produto chegou completamente danificado, propaganda enganosa",Negativo,0
Empresa demora semanas para estornar pagamento e devolução negada sem justificativa,Negativo,0
"Produto não funciona conforme anunciado, fui completamente enganado",Negativo,0
"Atendimento respondeu em tempo hábil, solução parcialmente satisfatória",Neutro,1
Suporte proativo me avisou do status do pedido sem eu precisar perguntar,Positivo,2
"Compra online padrão, igual a qualquer outra experiência do mercado",Neutro,1
Produto com qualidade muito inferior ao anunciado e email sem resposta há mais de uma semana,Negativo,0
Empresa que valoriza genuinamente o cliente acima de tudo,Positivo,2
"Produto simples que cumpre o que promete, sem grandes diferenciais",Neutro,1
"Compra tranquila, sem maiores problemas ou surpresas durante o processo",Neutro,1
Produto conforme descrito com qualidade bem superior ao esperado,Positivo,2
"Estou muito satisfeito com a compra, recomendo essa loja a todos",Positivo,2
"Produto frágil que quebrou no desempacotamento, empresa que não respeita o cliente",Negativo,0
